codigo_ibge,longitude,latitude,area_km2,altitude_media_m,altitude_minima_m,amplitude_altitude_m,declividade_m_por_km,celulas_de_relevo,distancia_rio_km,distancia_rio_grande_km
3203205,-40.030621409031895,-19.38424581902623,3514.1041110930964,48.3754997253418,0.0,607.0,6.517370502008127,751,2.8887970187022387,530.3305083054748
3203304,-41.071656032462684,-18.877713496168678,319.25961990095675,596.6514892578125,379.0,444.0,35.54713103301139,66,47.20158884468804,421.68532463285726
3203320,-40.89356489791247,-21.10251417650596,129.22560426499695,26.962963104248047,14.0,38.0,3.827123718061232,27,57.69136630844137,487.0156296271
3203346,-40.770844338331536,-20.42837015781065,276.28186355158687,790.2000122070312,584.0,438.0,26.235265725554328,60,99.79736681595925,472.88676960853763
3203353,-40.52300860717073,-19.42706384319799,327.9704145491123,201.19444274902344,44.0,510.0,32.71910982183803,72,8.738339012080642,478.99169049013256
3203403,-41.375538113835184,-21.087133583803322,887.9820049395785,295.626953125,4.0,1070.0,39.12506573975586,193,60.10663622146134,441.91226965525897
3203502,-40.276148815373695,-18.1394181305929,1097.5323676671833,152.02552795410156,68.0,216.0,5.96776442611167,235,142.36710686890382,491.61053136156414
3203601,-40.51189724540558,-18.015654777589567,533.2902413560078,237.63157653808594,172.0,138.0,5.341688529638767,114,154.9324650708693,464.51227957788376
3203700,-41.43466521523106,-20.427310927278295,649.0338278478011,785.8803100585938,332.0,1013.0,58.70262541659182,142,111.7609157345225,407.32427570833966
3203809,-41.34391545660535,-20.936401829787453,327.759492918849,433.5,208.0,568.0,63.03899755311209,72,77.06124637404284,437.3574340253962
3203908,-40.52317502070348,-18.69907826247068,1432.8786237379536,180.84193420410156,61.0,463.0,18.064397861803428,310,89.22547576597961,481.17723062749064
3204005,-40.82047236524387,-19.14833763883348,844.5425968030468,343.1593322753906,98.0,621.0,41.2422608597015,182,38.58695693038594,446.97043962082637
3204054,-40.03881783103233,-18.17988459698486,431.8420411683619,82.49462127685547,33.0,115.0,5.107976502222724,93,136.0255360758319,516.954424606897
3204104,-40.197090119918805,-18.37025442611684,967.5427094679326,116.3756103515625,24.0,197.0,5.223268974936387,205,115.92242609884079,505.63677400797354
3204203,-40.771170114393904,-20.83874196770496,76.74203679803759,24.823530197143555,1.0,70.0,9.466521881475751,17,89.1694029172877,487.25171326988095
3204252,-40.51544723800861,-18.253927204118586,370.5782244578004,215.91139221191406,126.0,176.0,10.234296679136085,79,136.1402706226043,470.05138792878313
3204302,-41.06849979456049,-21.14445496213257,581.8861765190959,41.7734375,1.0,179.0,6.469985124977809,128,51.853512161469446,472.83943428700405
3204351,-40.30804986243132,-19.230609316980665,648.3928434578702,142.46377563476562,26.0,429.0,18.481305588119007,138,27.832792820648944,500.83987689014606
3204401,-40.916812289453425,-20.820487728914816,195.42347642872483,258.4130554199219,5.0,767.0,58.45629406594667,46,88.0419142864723,472.5476786366486
3204500,-40.53591027699331,-20.120130591114474,705.0459177251905,449.0067138671875,4.0,881.0,50.83611458371536,149,66.28307490051202,487.9764641037743
3204559,-40.80262848775804,-20.082531026116197,736.06898397021,896.4905395507812,565.0,605.0,23.566906061518086,159,62.10890968696001,460.02070961303355
3204609,-40.63288724226514,-19.877889180983413,673.6345438780263,586.3150634765625,144.0,793.0,60.362159830409155,146,38.76922096542096,473.04292670084027
3204658,-40.56911108888706,-19.123418032384045,291.2876865360886,181.5084686279297,97.0,164.0,13.189008906308613,59,42.303779896746086,473.4274058066339
3204708,-40.5068957221798,-18.952719281017036,426.4515729798004,176.93258666992188,97.0,354.0,13.565277301590298,89,61.21506815454345,480.5984535898884
3204807,-41.654061866503724,-20.984136543413204,260.16431117989123,524.1896362304688,244.0,719.0,43.77617496439736,58,68.03493923544633,411.323718980101
3204906,-40.020813816027534,-18.74898773610953,2351.1482085380703,63.75442123413086,2.0,203.0,6.206328463712324,509,73.0928145560794,533.424267271821
3204955,-40.68099419554831,-19.719525267457104,345.3338605482131,279.75,104.0,855.0,41.43636427981936,76,20.957608829431557,465.52228420607344
3205002,-40.300885275186346,-20.12924740386271,535.9234638595954,45.4568977355957,0.0,571.0,15.78380292369368,116,66.55572287002879,512.0707914814071
3205010,-40.14717003296176,-19.07252465155456,591.926490562968,78.09091186523438,9.0,121.0,5.612105748254083,132,38.41204382532173,517.9269931947392
3205036,-41.00196455743995,-20.65028561200595,410.39023311436176,757.1777954101562,75.0,1280.0,48.92026588017222,90,106.24316453530845,457.69289723479324
3205069,-41.139579211644,-20.373124458015912,195.6297716582194,951.3333129882812,751.0,407.0,46.21806813718062,42,98.19727952761875,434.5476368596319
3205101,-40.51271019017413,-20.400536819114883,313.76386919245124,178.5,8.0,589.0,37.708859781427584,66,96.49778622968847,497.77094459015257
3205150,-40.6251060569468,-18.615097189431765,417.89509752299637,199.21591186523438,137.0,193.0,13.856439214754989,88,98.15719394768408,470.76815486219675
3205176,-40.330817374382875,-18.967039618688535,467.8580372678116,148.4466094970703,77.0,391.0,17.27757739180999,103,55.655879758284314,499.0493628770154
3205200,-40.37869494551316,-20.434178282960684,212.5891336509958,14.30434799194336,0.0,48.0,4.161137334282782,46,99.56859879485818,512.1265335157208
3205309,-40.29832587290262,-20.279224192558697,80.73376907315105,20.823530197143555,1.0,167.0,10.529007195798865,17,83.06255171139942,515.9146027616187
3300100,-44.39036081226237,-22.931143356166384,731.8076465381309,512.9224853515625,7.0,1445.0,127.19017049840697,129,46.76298154688422,330.7615043853651
3300159,-42.135981118961716,-21.652480389549243,88.87316052336246,133.6666717529297,88.0,172.0,14.375996715984801,18,3.6118369579582903,400.57754342124355
3300209,-42.293002540394795,-22.75510072730494,641.1765081109479,27.565217971801758,2.0,60.0,4.700442023439475,138,104.7460910684207,451.43568081480424
3300225,-43.12197346254748,-22.237507198337717,108.54734569601715,591.6521606445312,372.0,425.0,33.646591428458684,23,15.623959673604265,350.3594166569266
3300233,-41.961066356607624,-22.779138401494702,58.51651985384524,18.33333396911621,7.0,30.0,5.82740126986776,12,120.65227572445569,479.6009737086173
3300258,-42.17903076572903,-22.918238512013684,144.4569686781615,9.533333778381348,1.0,200.0,5.322185740145089,30,126.11249739984535,471.71272216611777
